INFO  2015-05-23 14:44:56,759 2942848ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:45:26,775 2972864ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:45:56,787 3002876ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:46:26,803 3032892ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:46:56,815 3062904ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:47:26,837 3092925ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:47:56,845 3122933ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:48:26,867 3152955ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:48:56,876 3182964ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:49:26,889 3212977ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:49:56,910 3242998ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:50:26,925 3273013ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:50:56,940 3303028ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:51:26,955 3333043ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:51:56,970 3363058ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:52:26,982 3393070ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:52:56,993 3423081ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:53:27,011 3453100ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:53:57,028 3483117ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:54:27,043 3513132ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:54:57,048 3543137ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:55:27,063 3573152ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:55:57,079 3603168ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:56:27,094 3633183ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:56:57,108 3663197ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:57:27,122 3693211ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:57:57,141 3723230ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:58:27,153 3753241ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:58:57,171 3783259ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:59:27,188 3813276ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 14:59:57,203 3843291ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:00:27,216 3873305ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:00:57,223 3903312ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:01:27,245 3933334ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:01:57,277 3963366ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:02:27,290 3993379ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:02:57,300 4023389ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:03:27,313 4053401ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:03:57,336 4083424ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:04:27,348 4113436ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:04:57,361 4143449ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:05:27,379 4173467ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:05:57,389 4203477ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:06:27,401 4233489ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:06:57,418 4263506ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:07:27,438 4293526ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:07:57,453 4323541ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:08:27,459 4353548ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:08:57,474 4383562ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:09:27,493 4413582ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:09:57,505 4443594ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:10:27,517 4473605ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:10:57,531 4503620ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:11:27,555 4533643ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:11:57,562 4563650ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:12:27,583 4593672ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:12:57,598 4623687ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:13:27,610 4653698ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:13:57,623 4683711ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:14:27,636 4713724ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:14:57,652 4743740ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:15:27,669 4773757ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:15:57,678 4803766ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:16:27,692 4833780ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:16:57,706 4863794ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:17:27,721 4893809ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:17:57,735 4923824ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:18:27,750 4953838ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:18:57,765 4983853ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:19:27,779 5013868ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:19:57,794 5043883ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:20:27,813 5073901ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:20:57,823 5103911ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:21:27,838 5133927ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:21:57,852 5163941ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:22:27,871 5193960ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:22:57,884 5223972ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:23:27,898 5253987ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:23:57,911 5283999ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:24:27,925 5314014ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:24:57,940 5344028ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:25:27,960 5374048ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:25:57,974 5404062ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:26:27,986 5434074ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:26:57,998 5464086ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:27:28,013 5494101ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:27:58,033 5524121ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:28:28,049 5554138ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:28:58,056 5584145ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:29:28,071 5614160ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:29:58,094 5644183ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:30:28,100 5674188ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:30:58,116 5704205ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:31:28,130 5734218ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:31:58,151 5764239ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
